0,sentiment
EV3 등 신차 예고한 기아 추천신규원전 한전기술·금리인하 삼바도,-1
[서울경제] 코스피·코스닥 지수가 박스권에 갇힌 가운데 여의도 증권가는 실적 개선주에 주목했다.,-1
"인공지능(AI) 폰인 갤럭시 S24가 인기를 끌면서 수혜주로 꼽히는 S펜 제작 업체 인터플렉스(051370), 고객 맞춤형 메모리반도체 수요 증가에 실적 개선 기대감이 큰 삼성전자(005930) 등을 추천했다.",-1
삼성증권은 28일 창사 이래 최대 실적 기록을 낸 기아(000270)와 AI 폰인 갤럭시 S24의 S펜 제작사인 인터플렉스를 이번주 추천 종목으로 제시했다.,-1
기아는 밝은 실적 전망이 추천 이유다.,-1
"기아는 지난해 매출 99조 8084억 원, 영업이익 11조 6079억 원으로 창사 이래 최대 실적을 기록한 데 이어 올해도 실적 성장을 이어간다는 목표다.",-1
"기아는 지난 25일 올해 매출 101조 원, 영업이익 12조 원, 영업이익률은 11.9%를 달성하겠다고 밝혔다.",-1
"삼성증권 관계자는 “올 1분기 한국에서는 EV3, 미국에서는 카니발 하이브리드·쏘렌토 등 신차 출시가 예정된 만큼 올해 실적도 긍정적일 것”이라고 설명했다.",-1
"5000억 원 규모의 자사주 매입과 소각 계획, 1주당 5600원(시가배당율 6.4%) 등 주주환원 정책도 주가에 우호적으로 작용할 것으로 봤다.",-1
인터플렉스는 S펜이 탑재된 갤럭시 S24 울트라가 흥행 가도를 달리며 수혜 가능성이 높다는 평가다.,-1
인터플렉스는 S펜 제작 업체다.,-1
AI폰인 갤럭시 S24는 ‘서클 투 서치’ 기능을 탑재하면서 시장에서는 S펜 활용이 증가할 것이란 전망이 나온다.,-1
하나증권은 한전기술(052690)을 추천했다.,-1
한국전력발 수급 부담을 덜어낸 점이 추천 사유로 꼽혔다.,-1
한국전력은 지난 2일 한전기술 보유 지분 65.77% 중 14.77%(약 3500억 원)를 미래에셋증권 등이 만든 특수목적법인(SPC)에 매각했다.,-1
대규모 주식 매도 우려가 해소되면서 대기 매수세가 유입될 수 있다는 분석이다.,-1
늦어도 다음달 내로 나올 11차 전력수급기본계획에 신규 원자력발전소 확대 계획이 포함될 것으로 관측되는 점도 한전기술 주가에 긍정적 영향을 미칠 전망이다.,-1
유안타증권은 삼성전자와 삼성바이오로직스(207940)를 추천했다.,-1
